The CCLE Results relative to 644241
CCLE Name	Target	Does	IC50
HLE	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HLF	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HMC-1-8	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HMCB	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.181233406	
HOS	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HPAC	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.072412014	
Hs 229.T	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Hs 294T	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Hs 578T	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Hs 683	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Hs 695T	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Hs 739.T	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Hs 746T	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.016578197	
Hs 766T	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Hs 840.T	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Hs 852.T	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.286914825	
Hs 895.T	2	.0025,.0080,.025,.080,.25,.80,2.53,8	4.720332146	
Hs 936.T	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
Hs 939.T	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.080129623	
Hs 944.T	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HSC-2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HT	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HT-1197	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HT-1376	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HT-144	2	.0025,.0080,.025,.080,.25,.80,2.53,8	4.633401871	
HT-29	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HuCCT1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
huH-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HUP-T3	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
HUP-T4	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.09538269	
HuT 78	2	.0025,.0080,.025,.080,.25,.80,2.53,8	0.426970909	
IA-LM	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
IGR-37	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
IGR-39	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
IGROV1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
IM95	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
IMR-32	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
IPC-298	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
IST-MES1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	0.893207331	
IST-MES2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	3.565156339	
JHH-2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
JHH-4	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
JHH-6	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
JHOS-2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
JHOS-4	2	.0025,.0080,.025,.080,.25,.80,2.53,8	4.287676811	
JM1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.700304031	
JMSU-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	5.011620998	
JURKAT	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
JVM-3	2	.0025,.0080,.025,.080,.25,.80,2.53,8	2.293517775	
K029AX	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KALS-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KARPAS-299	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KARPAS-422	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KARPAS-620	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KASUMI-2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	7.463879585	
KCL-22	2	.0025,.0080,.025,.080,.25,.80,2.53,8	0.013746729	
KE-39	2	.0025,.0080,.025,.080,.25,.80,2.53,8	4.791784763	
KE-97	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KG-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KHM-1B	2	.0025,.0080,.025,.080,.25,.80,2.53,8	2.321830997	
KLE	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KMBC-2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KMM-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	2.917067289	
KMRC-1	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KMRC-2	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KMS-11	2	.0025,.0080,.025,.080,.25,.80,2.53,8	4.221470356	
KMS-12-BM	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KMS-26	2	.0025,.0080,.025,.080,.25,.80,2.53,8	6.001347065	
KMS-34	2	.0025,.0080,.025,.080,.25,.80,2.53,8	3.499485731	
KNS-42	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KNS-60	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
KNS-81	2	.0025,.0080,.025,.080,.25,.80,2.53,8	8	
