The CCLE Results relative to 10206158
CCLE Name	Target	Does	IC50
HCC1187	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HCC1395	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HCC-15	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HCC1569	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HCC1806	2	.0080	.025	.080	.25	.80	2.53	8	8	
HCC1954	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HCC2935	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HCC4006	2	.0025	.0080	.025	.080	.25	.80	2.53	8	3.165573597	
HCC-44	2	.0025	.0080	.025	.080	.25	.80	2.53	8	3.420663357	
HCC-56	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.010615913	
HCC70	2	.0025	.0080	.025	.080	.25	.80	2.53	8	1.253405809	
HCC-78	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HCC827	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HCT 116	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.202401146	
HCT-15	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HD-MY-Z	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.022050716	
HDQ-P1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	5.738184452	
HEC-151	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.08198344	
HEC-1-A	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HEC-1-B	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HEC-251	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HEC-265	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HEC-59	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HEC-6	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HEL 92.1.7	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
Hep 3B2.1-7	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.847085655	
Hep G2	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.022851815	
Hey-A8	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.636340976	
HGC-27	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HH	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HLE	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HLF	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HMC-1-8	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.036374319	
HMCB	2	.0025	.0080	.025	.080	.25	.80	2.53	8	5.477803707	
HOS	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HPAC	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.209011331	
HPAF-II	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.566682398	
Hs 229.T	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
Hs 294T	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
Hs 578T	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
Hs 683	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
Hs 695T	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.237993121	
Hs 729	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
Hs 739.T	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
Hs 746T	2	.0025	.0080	.025	.080	.25	.80	2.53	8	2.000169039	
Hs 766T	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.01714126	
Hs 840.T	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
Hs 852.T	2	.0025	.0080	.025	.080	.25	.80	2.53	8	1.339613318	
Hs 895.T	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.716822829	
Hs 936.T	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.042563576	
Hs 939.T	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.041808613	
Hs 944.T	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.143660545	
HSC-2	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HT	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HT-1080	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.446043372	
HT-1197	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HT-1376	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
HT-144	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.019130703	
HT-29	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.011746166	
HuCCT1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	1.695538163	
huH-1	2	.0025	.0080	.025	.080	.25	.80	2.53	8	2.671397686	
HUP-T3	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.355318874	
HUP-T4	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.066378251	
HuT 78	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.017062185	
IA-LM	2	.0025	.0080	.025	.080	.25	.80	2.53	8	8	
IGR-37	2	.0025	.0080	.025	.080	.25	.80	2.53	8	0.021839682	
IGR-39	2	.0025	.0080	.025	.080	.25	.80	2.53	8	6.818576091	
