height	rank	name
2.0528	355	KURAMOCHI
2.0562	356	C2BBe1
2.0598	357	NCI-H2347
2.0673	358	CP67-MEL
2.0694	359	CHP-134
2.072	360	HAL-01
2.0877	361	NCI-H1650
2.095	362	HT55
2.0958	363	NCI-H209
2.1015	364	RH-18
2.1044	365	KASUMI-1
2.1055	366	SK-OV-3
2.106	367	EW-1
2.109	368	HT-144
2.1091	369	GP5d
2.1121	370	NCI-H441
2.1333	371	NCI-H250
2.1354	372	M059J
2.1399	373	RO82-W-1
2.1409	374	MDA-MB-415
2.1429	375	HT-3
2.1476	376	SK-MG-1
2.1503	377	BHT-101
2.151	378	NCI-H378
2.1645	379	SW948
2.1687	380	KNS-42
2.1724	381	MS-1
2.174	382	EB-3
2.1812	383	NCI-H810
2.1874	384	GOTO
2.1892	385	SUP-T1
2.1919	386	BOKU
2.1957	387	JiyoyeP-2003
2.1981	388	EW-18
2.2008	389	A253
2.203	390	ChaGo-K-1
2.2076	391	GI-1
2.211	392	KARPAS-422
2.219	393	NCI-H2405
2.2234	394	IST-MES1
2.2296	395	LB996-RCC
2.2305	396	K5
2.2336	397	GCIY
2.2369	398	NB13
2.2541	399	LB831-BLC
2.2566	400	8305C
2.2591	401	TGW
2.2592	402	MDA-MB-231
2.2596	403	NCI-H630
2.2627	404	LB2518-MEL
2.2682	405	BT-549
2.2696	406	Saos-2
2.2742	407	OAW-28
2.276	408	SW962
2.2775	409	SW1783
2.28	410	SJRH30
2.2804	411	Hs-578-T
2.2875	412	PANC-03-27
2.291	413	SW48
2.2923	414	NCI-H1703
2.2936	415	SCC-25
2.2965	416	NCI-H1734
2.2969	417	NB5
2.3	418	NCI-H2196
2.3012	419	NCI-SNU-1
2.3068	420	NB14
2.3095	421	TK10
2.3107	422	LOUCY
2.3127	423	AM-38
2.3135	424	AU565
2.3139	425	A2780
2.3197	426	U-698-M
2.3468	427	HCC1954
2.3469	428	RMG-I
2.348	429	HCC1569
2.3549	430	HH
2.3591	431	D-336MG
2.3763	432	NCI-H748
2.379	433	H-EMC-SS
2.3798	434	SK-CO-1
2.3864	435	SAS
2.3905	436	KLE
2.3934	437	TT
2.3976	438	U-266
2.4009	439	SNU-C2B
2.4018	440	NB1
2.4048	441	BPH-1
2.4128	442	DJM-1
2.4184	443	COLO-320-HSR
2.4284	444	SK-NEP-1
2.4314	445	TGBC11TKB
2.4413	446	PFSK-1
2.4415	447	U-118-MG
2.4462	448	NCI-H1436
2.4504	449	D-392MG
2.4565	450	SK-N-DZ
2.4763	451	NCI-H446
2.4819	452	CRO-AP2
2.4842	453	22RV1
2.4895	454	COR-L88
2.4925	455	T98G
2.4975	456	NCI-H2107
2.5011	457	NOMO-1
2.5054	458	ECC4
2.5128	459	KP-N-RT-BM-1
2.5135	460	NY
2.5215	461	CaR-1
2.5284	462	SCC-3
2.5292	463	HL-60
2.5354	464	HuP-T3
2.5361	465	FADU
2.5607	466	LU-65
2.5616	467	NB12
2.5628	468	LB771-HNC
2.5737	469	KE-37
2.582	470	MOLT-13
2.5835	471	ZR-75-30
2.5945	472	SNU-387
2.6004	473	MOLT-16
2.6032	474	MDA-MB-468
2.6079	475	no-11
2.609	476	ES3
2.6149	477	JEG-3
2.6181	478	EFO-21
2.6284	479	RD
2.6292	480	NCI-H1693
2.6325	481	TI-73
2.638	482	NCI-H747
2.647	483	no-10
2.6491	484	HC-1
2.6554	485	NCI-H28
2.6593	486	HCC38
2.6609	487	HSC-4
2.6636	488	HCC1599
2.6681	489	KMOE-2
2.6685	490	HCC1937
2.6694	491	RXF393
2.6815	492	ML-2
2.6845	493	LP-1
2.6881	494	Becker
2.6965	495	D-247MG
2.6978	496	TGBC24TKB
2.7114	497	OVCAR-3
2.7141	498	SW13
2.7219	499	NCI-H1573
2.7367	500	NMC-G1
