height	rank	name
5.3802	356	HCC1599
5.3827	357	Daoy
5.3839	358	NCI-H1304
5.3868	359	SK-MES-1
5.3923	360	SW1088
5.3935	361	MDA-MB-468
5.4017	362	MDA-MB-361
5.4024	363	HuCCT1
5.4062	364	SW1710
5.4213	365	EW-7
5.4285	366	NB10
5.4373	367	D-247MG
5.4406	368	HCC2998
5.4412	369	BEN
5.4435	370	CAL-51
5.4490	371	KYSE-270
5.4502	372	SW1463
5.4511	373	COLO-829
5.4526	374	TYK-nu
5.4570	375	MKN45
5.4600	376	MHH-CALL-2
5.4683	377	MC-IXC
5.4690	378	KURAMOCHI
5.4790	379	A431
5.4854	380	NB69
5.4886	381	SW13
5.4893	382	KP-N-YS
5.4908	383	K5
5.4930	384	U-266
5.5002	385	A673
5.5055	386	SNU-449
5.5079	387	PANC-03-27
5.5080	388	COLO-792
5.5083	389	HPAF-II
5.5103	390	Mo-T
5.5104	391	NCI-H1155
5.5110	392	UM-UC-3
5.5131	393	NB14
5.5157	394	NCI-H650
5.5165	395	A172
5.5232	396	NCI-H810
5.5278	397	Daudi
5.5283	398	786-0
5.5305	399	TC-YIK
5.5316	400	DJM-1
5.5385	401	NCI-H2170
5.5406	402	TGBC1TKB
5.5443	403	PC-14
5.5466	404	HSC-4
5.5500	405	HN
5.5517	406	ATN-1
5.5524	407	A549
5.5542	408	DMS-153
5.5543	409	5637
5.5582	410	SW982
5.5587	411	NCI-H2171
5.5657	412	DMS-273
5.5711	413	HD-MY-Z
5.5737	414	EFO-27
5.5783	415	NCI-H2141
5.5792	416	KYSE-70
5.5796	417	AU565
5.5796	418	RPMI-7951
5.5802	419	BL-41
5.5864	420	M059J
5.5937	421	TK10
5.5967	422	SAS
5.6040	423	BHY
5.6066	424	NCI-H1573
5.6160	425	CP66-MEL
5.6171	426	TALL-1
5.6182	427	SW626
5.6208	428	NCI-H2052
5.6211	429	TCCSUP
5.6260	430	CHL-1
5.6264	431	NCI-H838
5.6266	432	KP-N-YN
5.6294	433	A2058
5.6295	434	LS-411N
5.6368	435	COLO-320-HSR
5.6384	436	RH-18
5.6393	437	MDA-MB-134-VI
5.6394	438	Saos-2
5.6442	439	EHEB
5.6481	440	SCC-15
5.6485	441	SJRH30
5.6520	442	MKN1
5.6547	443	NCI-H1437
5.6598	444	RPMI-6666
5.6613	445	NCI-H2452
5.6624	446	J-RT3-T3-5
5.6643	447	U251
5.6674	448	K052
5.6676	449	SK-CO-1
5.6704	450	RPMI-2650
5.6808	451	LS-1034
5.6893	452	Calu-6
5.6940	453	GT3TKB
5.6956	454	NCI-H526
5.7051	455	IMR-5
5.7069	456	AsPC-1
5.7078	457	COLO-741
5.7079	458	SW900
5.7166	459	T84
5.7195	460	NCI-H23
5.7220	461	8305C
5.7244	462	NB13
5.7245	463	NEC8
5.7276	464	NCI-H1299
5.7280	465	no-10
5.7309	466	SU-DHL-1
5.7333	467	CAL-120
5.7336	468	UACC-62
5.7438	469	RCC10RGB
5.7440	470	KGN
5.7482	471	SIMA
5.7493	472	HEL
5.7580	473	NCI-H2081
5.7669	474	U031
5.7694	475	PANC-10-05
5.7704	476	NCI-H1581
5.7712	477	NCI-H2087
5.7714	478	BC-3
5.7724	479	OE19
5.7726	480	NCI-H2126
5.7747	481	C-33-A
5.7782	482	P30-OHK
5.7782	483	EKVX
5.7784	484	MKN7
5.7824	485	UACC-257
5.7843	486	OAW-28
5.7856	487	LC-1F
5.7927	488	KLE
5.7969	489	SK-HEP-1
5.7995	490	NCI-H748
5.8043	491	SF539
5.8175	492	UACC-893
5.8195	493	HCC1569
5.8198	494	NB6
5.8200	495	DV-90
5.8283	496	OVCAR-8
5.8325	497	CMK
5.8398	498	AM-38
5.8405	499	SK-LMS-1
5.8440	500	TE-6
5.8471	501	SN12C
5.8492	502	OE33
5.8531	503	NCI-SNU-16
5.8537	504	JiyoyeP-2003
5.8548	505	OVCAR-3
5.8630	506	HOP-92
5.8662	507	22RV1
5.8680	508	MHH-NB-11
5.8702	509	COR-L23
5.8735	510	CAL-54
5.8758	511	SW780
5.8782	512	SK-OV-3
5.8831	513	SW48
5.8857	514	COLO-684
5.8879	515	HT-1197
5.8918	516	NCI-H524
5.8935	517	NCI-H1793
5.8941	518	RCM-1
5.9007	519	CAS-1
5.9038	520	LS-513
5.9039	521	VMRC-RCZ
5.9080	522	QIMR-WIL
5.9110	523	RO82-W-1
5.9170	524	DMS-53
5.9174	525	HSC-2
5.9190	526	NCI-H1694
5.9232	527	ESS-1
5.9251	528	KYSE-450
5.9272	529	SW1417
5.9289	530	NCI-H1734
5.9361	531	LN-405
5.9363	532	IGR-1
5.9374	533	COLO-680N
5.9388	534	G-361
5.9394	535	EFE-184
5.9531	536	EGI-1
5.9545	537	ZR-75-30
5.9588	538	BT-20
5.9605	539	MDA-MB-157
5.9651	540	NCI-H2196
5.9684	541	TGW
5.9714	542	MFE-280
5.9746	543	HO-1-N-1
5.9767	544	EW-3
5.9789	545	PA-1
5.9823	546	SK-N-FI
5.9833	547	PLC-PRF-5
5.9851	548	HCC1143
5.9866	549	A3-KAW
5.9891	550	AGS
5.9957	551	HCC1954
6.0045	552	KNS-42
6.0048	553	Caov-3
6.0073	554	SW756
6.0120	555	SW620
6.0144	556	OMC-1
6.0284	557	NCI-H510A
6.0316	558	KM12
6.0369	559	NCI-H720
6.0376	560	LNCaP-Clone-FGC
6.0414	561	SNU-C2B
6.0423	562	KARPAS-299
6.0451	563	DG-75
6.0486	564	HT55
6.0499	565	NCI-H2107
6.0531	566	MSTO-211H
6.0574	567	FTC-133
6.0595	568	Ca9-22
6.0611	569	NCI-H1838
6.0715	570	NCI-H441
6.0740	571	NB1
6.0750	572	UMC-11
6.0757	573	MDA-MB-453
6.0769	574	EW-22
6.0777	575	OVCAR-5
6.0821	576	SW684
6.0831	577	SBC-1
6.0831	578	HuP-T4
6.0844	579	Capan-2
6.0893	580	IST-SL1
6.0899	581	KARPAS-422
6.0922	582	YAPC
6.0995	583	Mewo
6.1010	584	CaR-1
6.1023	585	LK-2
6.1028	586	NB5
6.1037	587	TE-9
6.1073	588	BALL-1
6.1118	589	MES-SA
6.1137	590	C3A
6.1139	591	KNS-81-FD
6.1150	592	COLO-678
6.1166	593	MEL-HO
6.1219	594	SK-MEL-30
6.1295	595	NCI-H2347
6.1295	596	EVSA-T
6.1309	597	NCI-H226
6.1524	598	M14
6.1604	599	NCI-SNU-1
6.1663	600	ACN
6.1690	601	EPLC-272H
6.1733	602	RMG-I
6.1734	603	NB12
6.1738	604	MC116
6.1791	605	D-502MG
6.1831	606	TUR
6.1854	607	NCI-H460
6.1878	608	Calu-3
6.1952	609	OPM-2
6.1966	610	D-283MED
6.1981	611	SCC-25
6.2002	612	KE-37
6.2065	613	MDA-MB-175-VII
6.2088	614	EFM-19
6.2134	615	BC-1
6.2170	616	HuP-T3
6.2186	617	RERF-LC-MS
6.2220	618	RPMI-8402
6.2429	619	SK-MM-2
6.2449	620	COLO-824
6.2481	621	MDA-MB-415
6.2552	622	SW1783
6.2655	623	SiHa
6.2666	624	JAR
6.2682	625	SK-MEL-1
6.2692	626	NCI-H322M
6.2787	627	Caov-4
6.2802	628	KM-H2
6.2858	629	LAN-6
6.2863	630	NCI-H1563
6.2867	631	JEG-3
6.3074	632	FADU
6.3113	633	KU-19-19
6.3216	634	EW-12
6.3226	635	ARH-77
6.3227	636	NCI-H520
6.3298	637	LB373-MEL-D
6.3308	638	SKG-IIIa
6.3357	639	EW-24
6.3368	640	EFO-21
6.3490	641	HCC2218
6.3549	642	GMS-10
6.3642	643	DEL
6.3644	644	HCC38
6.3664	645	SHP-77
6.3708	646	NCI-H1395
6.3733	647	PF-382
6.3789	648	NCI-H64
6.4039	649	LOUCY
6.4081	650	DMS-114
6.4128	651	MN-60
6.4200	652	SCC-9
6.4428	653	TGBC11TKB
6.4542	654	P12-ICHIKAWA
6.4600	655	647-V
6.4630	656	NCI-H1623
6.4647	657	MC-CAR
6.4660	658	A253
6.4918	659	NCI-H1963
6.5074	660	LP-1
6.5196	661	T47D
6.5202	662	NCI-H1048
6.5252	663	SCH
6.5296	664	CAL-148
6.5566	665	GAK
6.5619	666	KY821
6.5655	667	23132-87
6.5713	668	NH-12
6.5807	669	NCI-H69
6.5919	670	EC-GI-10
6.5946	671	DMS-79
6.5958	672	CA46
6.6215	673	NCI-H596
6.6308	674	IPC-298
6.6416	675	NCI-H2227
6.6439	676	OC-314
6.6543	677	HCC1187
6.6584	678	NCI-SNU-5
6.6715	679	EB2
6.6718	680	OCI-AML2
6.6736	681	NCI-H187
6.6740	682	LU-165
6.6920	683	MFM-223
6.6927	684	CESS
6.6947	685	NCI-H1666
6.6969	686	HCT-15
6.7018	687	NCI-H446
6.7209	688	THP-1
6.7243	689	IGROV-1
6.7829	690	SCC-3
6.8236	691	NCI-H345
6.8677	692	U-87-MG
6.8758	693	RL
6.8779	694	H9
6.8995	695	BT-474
6.9746	696	COR-L279
6.9768	697	EB-3
7.0531	698	NCI-H1522
7.0716	699	Raji
7.0755	700	HT
7.1081	701	LU-65
7.1217	702	IM-9
7.1296	703	NCI-H2291
7.1823	704	NCI-H1417
7.2086	705	CW-2
7.2315	706	L-428
7.2796	707	P31-FUJ
